Summary,Issue key,Status,Project type,Project lead,Priority,Resolution,Creator,Labels,Labels,Labels,Labels,Labels,Labels,Description
Wrong Information on receipt,A1-17,In Progress,software,Noureldin Amer,High,,Noureldin Amer,lowseverity,pair2,pending,phase1,v1.0,,"Function: Transfer money between accounts

State: System on and logged in

Steps: Transfer money from chequing to savings account

Expected: Receipt details must be from Chequings to Savings account

Actual: Written as Savings to Chequing in the receipt but the transaction is accurate"
Money taken from account after every transfer process,A1-16,Done,software,Noureldin Amer,Highest,Done,Noureldin Amer,critical,fixed,pair2,phase1,v1.1,,"Function: Transfer money between account

State: System on and logged in with card 1

Steps: Transfer 20$ from chequing to savings

Expected: Full amount to be transferred between accounts

Actual: After each transfer process on card 1, $0.50 are taken from the source account account "
"Error while inquiring balance about ""Money Market"" account",A1-15,In Progress,software,Noureldin Amer,Highest,,Noureldin Amer,critical,pair2,pending,phase1,v1.0,,"Function: Request balance of ""Money Market""

State: On the page of the balance and selections.

Steps: Select the option to see the balance of the ""Money Market"".

Expected: The ""Money Market"" balance is being shown correctly.

Actual: An error “Invalid account type” is displayed on the screen"
Transfer money to the Money Market,A1-14,In Progress,software,Noureldin Amer,Medium,,sina pordanesh,critical,need-more-info,Pair1,pending,phase1,v1.0,No transfer is possible to the Money Market. The error is: Invalid account type
Unable to transfer money,A1-13,In Progress,software,Noureldin Amer,Highest,,Noureldin Amer,critical,pair2,pending,phase1,v1.0,,"Function: Transfer from Money Market to the Saving

State: Press the button ""envelope” to transfer the money.

Steps: Put a legitimate 

Expected: Money transferred correctly.

Actual: An error happened which says “Invalid to account type”."
Transferring money from saving to the checking ,A1-12,In Progress,software,Noureldin Amer,Medium,,sina pordanesh,critical,Pair1,pending,phase1,v1.0,,"Function: Transfer

State: System is requesting a transfer amount

Steps: Tranfer $200

Expected: System dispenses the correct amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)

Actual: The system does not transfer the correct amount of money,$0.50 are deducted before the money is transfered"
Wrong card name,A1-11,In Progress,software,Noureldin Amer,High,,Noureldin Amer,critical,pair2,pending,phase1,v1.0,,"Expected: Function: Withdraw

State: System is requesting a withdrawal amount

Steps: Withdraw $200

Expected: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.

Actual: The system displays the incorrect name of the credit card"
Transfering from checking to saving ,A1-10,In Progress,software,Noureldin Amer,High,,sina pordanesh,critical,Pair1,pending,phase1,v1.0,,"Function: Transfer

State: System is requesting a transfer amount

Steps: Tranfer $200

Expected: System dispenses the correct amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)

Actual: The system does not transfer the correct amount of money,$0.50 are deducted before the money is transfered"
Wrong amount withdrawn,A1-9,In Progress,software,Noureldin Amer,Highest,,Noureldin Amer,critical,Pair1,pair2,phase1,v1.0,,"Function: Withdraw

State: System is requesting a withdrawal amount

Steps: Withdraw $200

Expected: System dispenses this amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)

Actual: The system does not dispense the correct amount of money, only $20 are dispensed when $200 are requested"
Saving withdraw problem,A1-8,In Progress,software,Noureldin Amer,High,,sina pordanesh,critical,Pair1,pending,phase1,v1.0,,"

Function: Withdraw

State: System is requesting a withdrawal amount

Steps: Withdraw $200

Expected: System dispenses this amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)

Actual: The system does not dispense the correct amount of money, only $20 are dispensed when $200 are requested"
Spelling Mistake in terminal,A1-7,In Progress,software,Noureldin Amer,Highest,,Noureldin Amer,lowseverity,pair2,pending,phase1,v1.0,,"Function: Withdrawing

State: System is requesting that customer insert an envelope

Steps: Select 100$ and insert the envelop

Expected: System displays an appropriate message with no spelling mistakes and offers customer the option of choosing to do another transaction or not.

Actual: System displays a typo after withdrawing $20"
Withdraw money from the checking account - takes less than indicated,A1-6,In Progress,software,Noureldin Amer,Medium,,sina pordanesh,critical,Pair1,pending,phase1,v1.0,,"Function: Withdraw

State: System is requesting a withdrawal amount

Steps: Withdraw $200 

Expected: System dispenses this amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)

Actual: The system does not dispense the correct amount of money, only $20 are dispensed when $200 are requested"
Deposit money to the saving account,A1-5,In Progress,software,Noureldin Amer,High,,sina pordanesh,critical,Pair1,pending,phase1,v1.0,,"Function: Deposit into savings account

State: System is requesting that customer insert an envelope

Steps: Select 100$ and insert the envelop

Expected: The system prints the correct amount of money (money is increased by 100$)

Actual: The system does not print the correct amount of money. 10$ are withdrawn from the savings account once any amount of money is deposited to the savings account."
Deposit 100$ to savings account,A1-3,In Progress,software,Noureldin Amer,Highest,,Noureldin Amer,pair2,pending,phase1,v1.0,,,"Function: Deposit

State: System is requesting that customer insert an envelope

Steps: Select 100$ and insert the envelop

Expected: The system prints the correct amount of money (money is increased by 100$)

Actual: The system does not print the correct amount of money. 10$ are withdrawn from the savings account once any amount of money is deposited to the savings account."
Deposit to the checking account,A1-2,In Progress,software,Noureldin Amer,High,,sina pordanesh,critical,Pair1,pending,phase1,v1.0,,"The deposited money is less than expected 

$10 less than expected

Function: 

State:

Steps: 

Expected: 

Actual: "
Test Case 6 - Session - MFT,A1-1,Done,software,Noureldin Amer,Highest,Done,Thevin Mahawatte,critical,fixed,phase3,v1.1,,,"The system rejects an unreadable card.

Expected Output - System output should demonstrate that a connection has been established to the Bank

Output - The system does not provide an error message for an unreadable card and the system stops working"
